company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
Nirmata,1970,San Francisco,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",0.0,others,2020-01-01
Hire Me Car,1970,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,0.0,validation,2020-01-01
Oga Fit,1970,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",0.0,early traction,2020-01-01
ShipsKart,1970,Delhi,Business-to-Business E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,early traction,2020-01-01
SquadStack,1970,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000.0,early traction,2020-01-01
Financepeer,1970,Mumbai,Education Technology,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000.0,early traction,2020-01-01
Cashify,1970,Gurgaon,Business-to-Business E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",10000000.0,others,2020-01-01
Etrio,1970,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000.0,early traction,2020-01-01
Codeyoung,1970,Bangalore,Education Technology,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,0.0,validation,2020-01-01
StayQrious,1970,Bangalore,Education Technology,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,2000000.0,validation,2020-01-01
Sunstone Eduversity,1970,Gurgaon,Education Technology,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,3000000.0,early traction,2020-01-01
Infilect,1970,Bangalore,Software-as-a-Service,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd",1500000.0,early traction,2020-01-01
MobiGarage,1970,Delhi,Business-to-Business E-commerce,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor",,0.0,early traction,2020-01-01
Samunnati,1970,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000.0,others,2020-01-01
WeInnovate Biosolutions,1970,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,0.0,validation,2020-01-01
Yummy Corp,1970,Tangerang,Food and Beverages,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures",12000000.0,early traction,2020-01-01
Smallcase,1970,Bangalore,Fintech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000.0,early traction,2020-01-01
Clairvolex,1970,San Francisco,Technology Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",2000000.0,others,2020-01-01
